source_id,title,publisher,citation,source_url,license,access_status,retrieved_at,checksum_sha256,original_filename,temporal_coverage,geographic_coverage,geographic_level,variables,known_limitations,transform_pipeline,used_in_active_prediction,measurement_class,notes
WB_SP_DYN_TFRT_IN,"Fertility rate, total (births per woman)","World Bank Open Data","World Bank. World Development Indicators, indicator SP.DYN.TFRT.IN.",https://api.worldbank.org/v2/country/all/indicator/SP.DYN.TFRT.IN,CC-BY-4.0,OPEN,2025-08-18,157c57ed365004282819b2022a4bc04bd4442558459b322335cfef4b73f62384,wb_tfr.json,1960/2023,266 economies incl. aggregates,COUNTRY,tfr,"WB TFR is itself modelled for many low-income countries; differs from UN WPP by up to 0.2 births/woman. Aggregates (WLD, EAS) must be filtered out.",data/parse_all.py@v0.0.0,no,OBSERVED,"Fully downloaded and parsed to processed/tfr_by_country_year.csv (16868 rows). The active prediction does not read it; it reads the hand-typed HISTORICAL_TFR and V12_ACTUAL_TFR_2024 in berm/data/countries.py instead."
WB_IT_CEL_SETS_P2,Mobile cellular subscriptions (per 100 people),"World Bank Open Data","World Bank / ITU. World Telecommunication/ICT Indicators Database, indicator IT.CEL.SETS.P2.",https://api.worldbank.org/v2/country/all/indicator/IT.CEL.SETS.P2,CC-BY-4.0,OPEN,2025-08-18,5ada9953ac7e7f90e6ef945d878abe812559183a8de470bbdf791af0bea0bf6c,wb_mobile.json,1960/2023,266 economies incl. aggregates,COUNTRY,subs_per_100,"SUBSCRIPTIONS ARE NOT PEOPLE AND NOT DOSE. Exceeds 100/100 in most countries from multi-SIM. No age, sex, body-proximity or duty-cycle information. Counts SIMs, not transmit time.",data/parse_all.py@v0.0.0,no,PROXY,"12861 rows in processed/mobile_by_country_year.csv. Read only by berm/stats/csli.py. The active exposure path uses the hardcoded power law in exposure/personal.py:tech_penetration_profile instead."
WB_IT_NET_USER_ZS,Individuals using the Internet (% of population),"World Bank Open Data","World Bank / ITU. World Telecommunication/ICT Indicators Database, indicator IT.NET.USER.ZS.",https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS,CC-BY-4.0,OPEN,2025-08-18,f7b4a426f3d0454a36f65104fdebb703bdaa3a60ce552a4107e7148d3a1cdb87,wb_internet.json,1990/2023,266 economies incl. aggregates,COUNTRY,internet_pct,"Definition of 'use' varies by national survey (last 3 months vs last 12 months). Not an RF quantity.",data/parse_all.py@v0.0.0,no,PROXY,"6812 rows. Used only in parse_all.generate_tech_diffusion to guess 3G/4G onset years for expansion countries."
WB_IT_NET_BBND_P2,Fixed broadband subscriptions (per 100 people),"World Bank Open Data","World Bank / ITU. World Telecommunication/ICT Indicators Database, indicator IT.NET.BBND.P2.",https://api.worldbank.org/v2/country/all/indicator/IT.NET.BBND.P2,CC-BY-4.0,OPEN,2025-08-18,dabc23dbbc04657536cfc250629dfb06ac638189e13020409febb15d50e7504d,wb_broadband.json,1998/2023,266 economies incl. aggregates,COUNTRY,broadband_per_100,"Fixed broadband is a wired quantity; its use as a Wi-Fi exposure proxy assumes an unmeasured router-per-subscription ratio.",data/parse_all.py@v0.0.0,no,PROXY,5275 rows. Used only for 4G onset heuristics.
WB_SP_URB_TOTL_IN_ZS,Urban population (% of total population),"World Bank Open Data","World Bank / UN WUP. World Development Indicators, indicator SP.URB.TOTL.IN.ZS.",https://api.worldbank.org/v2/country/all/indicator/SP.URB.TOTL.IN.ZS,CC-BY-4.0,OPEN,2025-08-18,6f72b6bbddc94265eb41e3c7822a5b4e1c0381e212cf615cfecf4cf077a2aaf4,wb_urban.json,1960/2023,266 economies incl. aggregates,COUNTRY,urban_pct,"National definitions of 'urban' are not comparable across countries. Does not give metro density or metro population share, which the ambient model needs.",data/parse_all.py@v0.0.0,no,OBSERVED,"17160 rows, parsed but never read by any module. COUNTRY_PARAMS.urban_frac and .metro_density are hand-typed instead."
WB_SP_POP_TOTL,"Population, total","World Bank Open Data","World Bank. World Development Indicators, indicator SP.POP.TOTL.",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,CC-BY-4.0,OPEN,2026-08-19,736d07297ee93e097232613fa2a5165efaef554c0a0af9ba13ad8de5495d827f,population.json,1960/2024,"217 World Bank countries after metadata filter; WPP-only country/areas remain separately represented in the merged panel",COUNTRY,population,"Population revisions and national census quality vary; this is a denominator/covariate, not an RF or fertility measurement.",berm/data/global_download.py@v1.0.0,no,OBSERVED,"Held in raw/world_bank/wb_global_2026-08-19/population.json. The global panel retains its source and missingness field-by-field; it does not impute unavailable values."
WB_NY_GDP_PCAP_PP_CD,"GDP per capita, PPP (current international $)","World Bank Open Data","World Bank. World Development Indicators, indicator NY.GDP.PCAP.PP.CD.",https://api.worldbank.org/v2/country/all/indicator/NY.GDP.PCAP.PP.CD,CC-BY-4.0,OPEN,2026-08-19,5ecbcbb7c3936574f7e0af3d2462af9384a1a0297f49ef64c25497c9c2d3d7ec,gdp_ppp_per_capita.json,1960/2024,"217 World Bank countries after metadata filter; WPP-only country/areas remain separately represented in the merged panel",COUNTRY,gdp_ppp_per_capita,"PPP series are estimated, periodically revised and not directly comparable to household income or fertility demand. Current international dollars add price-level/revision dependence.",berm/data/global_download.py@v1.0.0,no,OBSERVED,"Held in raw/world_bank/wb_global_2026-08-19/gdp_ppp_per_capita.json. It is an observed source covariate only; a later hierarchical model must fit any coefficient within each training fold."
WB_SP_DYN_CONU_ZS,"Contraceptive prevalence, any method (% of women ages 15-49)","World Bank Open Data","World Bank. World Development Indicators, indicator SP.DYN.CONU.ZS.",https://api.worldbank.org/v2/country/all/indicator/SP.DYN.CONU.ZS,CC-BY-4.0,OPEN,2026-08-19,e53baed865fcc552de4b5ca3eae8bde07efc685762f656eb432a9de208b2ec08,contraception_pct.json,1960/2024,"217 World Bank countries after metadata filter; sparse observations for many countries",COUNTRY,contraception_pct,"Survey timing, method definitions and married/all-women denominators vary; coverage is sparse and values must not be silently interpolated.",berm/data/global_download.py@v1.0.0,no,OBSERVED,"Held in raw/world_bank/wb_global_2026-08-19/contraception_pct.json. The global panel preserves missingness and does not use it to alter the published Core-51 backtest."
COLOSS_WINTER_LOSS,COLOSS honey bee colony winter loss survey,"COLOSS / Journal of Apicultural Research","Gray A et al. 2020. Honey bee colony winter loss rates for 35 countries, winter 2018-2019. J Apic Res 59(5):744-751. doi:10.1080/00218839.2020.1797272",doi:10.1080/00218839.2020.1797272,"Open access articles; per-article terms",OPEN,2025-08-18,d4da6a2fab97f0b2aec2ad6f76f9ba7fe4a7bf31ffd5f8275ea4437a7b82603f,coloss_winter_loss.json,2006/2025,43 territories incl. GBR-ENG/SCT/WLS/NIR,"COUNTRY;SUBNATIONAL1",loss_pct;ci_low;ci_high;n_colonies,"WINTER LOSS IS NOT A REPRODUCTIVE MEASURE. Mixed methodology: USA is BIP/AIA, EPILOBEE 2012-14 are unweighted apiary means. Only USA spans the full range; all other territories are confined to 2012-13..2019-20. The in-file winters_covered field lists 7 winters but the data block contains 19. No varroa, pathogen, pesticide, forage or weather covariates.",manual DOM extraction,no,OBSERVED,"216 territory-winter records. Loaded by berm/stats/csli.py:load_bee_data. The 4 UK sub-national codes fail to join to the EMF proxy CSV, so 39/43 territories survive the join."
LEA_2016_DOG_SEMEN,Decline in semen quality in a population of stud dogs,"Scientific Reports","Lea RG et al. 2016. Environmental chemicals impact dog semen quality in vitro and may be associated with a temporal decline in sperm motility and increased cryptorchidism. Sci Rep 6:31281. doi:10.1038/srep31281",doi:10.1038/srep31281,"CC-BY-4.0 (article)",OPEN,2025-08-18,55e26fa237af2b92fa5d2287c8952c3a15a08e36cad46649155f8db967f36db3,lea2016_dog_sperm.json,1988/2014,"Single site: Guide Dogs for the Blind Association, UK",SITE,progressive_motility_pct;normal_morphology_pct;total_output_millions;cryptorchidism_per_1000,"SINGLE POPULATION, SINGLE BREEDING PROGRAMME, ONE COUNTRY. Values were digitized from Figure 1 and Figure 2a, not read from a data table; stated reading uncertainty is +-2-3 units. Values are model-estimated means from multilevel models, not raw observations. 1999-2001 are null because dogs were removed from the programme. NO RF MEASUREMENT ACCOMPANIES ANY POINT.",manual figure digitization,no,OBSERVED,"Normalized by berm/data/sentinel_normalize.py into 92 provenance-rich canonical rows (72 semen-endpoint and 20 cryptorchidism rows). It is not used by CSLI or prediction, and a single SITE still cannot support F1, F2 or F5, which require a regional or multi-country matched panel."
